# #stocks, #noise, #price, #walk, #kn, #action
5279,32,-0.003999999999999993,577,630,sell
5311,13,-0.017,609,662,sell
5328,11,-0.021000000000000005,622,679,sell
5343,-5,-0.024000000000000007,633,694,buy
5337,19,-0.016,628,688,sell
5363,5,-0.030000000000000013,647,714,sell
5374,-7,-0.03600000000000002,652,725,buy
5367,-26,-0.024000000000000007,645,718,buy
5334,15,-0.012999999999999998,619,685,sell
5349,24,-0.02500000000000001,634,700,sell
5374,-51,-0.03600000000000002,658,725,buy
5317,4,-0.009999999999999995,607,668,sell
5322,-11,-0.016,611,673,buy
5309,12,-0.006999999999999993,600,660,sell
5322,-15,-0.017,612,673,buy
5307,-32,-0.007999999999999993,597,658,buy
5268,-10,-0.000999999999999993,565,619,buy
5255,50,0.001000000000000007,555,606,sell
5307,25,-0.012999999999999998,605,658,sell
5332,-1,-0.019000000000000003,630,683,buy
5331,-14,-0.015,629,682,buy
5315,3,-0.008999999999999994,615,666,sell
5318,-24,-0.012999999999999998,618,669,buy
5294,-24,-0.002999999999999993,594,645,buy
5267,19,6.938893903907228e-18,570,618,sell
5287,-8,-0.004999999999999993,589,638,buy
5278,21,-0.001999999999999993,581,629,sell
5300,-4,-0.009999999999999995,602,651,buy
5295,-12,-0.004999999999999993,598,646,buy
5280,-4,-0.001999999999999993,586,631,buy
5274,-34,-0.000999999999999993,582,625,buy
5236,9,0.002000000000000007,548,587,sell
5246,16,-0.000999999999999993,557,597,sell
5263,12,-0.003999999999999993,573,614,sell
5277,18,-0.006999999999999993,585,628,sell
5295,-4,-0.011999999999999997,603,646,buy
5289,-2,-0.005999999999999993,599,640,buy
5281,-2,-0.003999999999999993,597,632,buy
5276,5,-0.002999999999999993,595,627,sell
5282,8,-0.005999999999999993,600,633,sell
5291,-14,-0.009999999999999995,608,642,buy
5276,5,-0.002999999999999993,594,627,sell
5282,16,-0.005999999999999993,599,633,sell
5306,-3,-0.015,615,657,buy
5303,-25,-0.009999999999999995,612,654,buy
5276,-7,-0.001999999999999993,587,627,buy
5263,-2,-0.000999999999999993,580,614,buy
5256,7,6.938893903907228e-18,578,607,sell
5266,-6,-0.002999999999999993,585,617,buy
5256,-32,6.938893903907228e-18,579,607,buy
5214,-20,0.005000000000000007,547,565,buy
5190,-42,0.009000000000000008,527,541,buy
5148,3,0.018000000000000016,485,499,sell
5152,-2,0.013000000000000012,488,503,buy
5150,-30,0.017000000000000015,486,501,buy
5111,9,0.02400000000000002,456,462,sell
5123,21,0.013000000000000012,465,474,sell
5146,24,0.006000000000000007,486,497,sell
5183,-18,0.001000000000000007,510,534,buy
5163,-45,0.007000000000000007,492,514,buy
5115,-11,0.02100000000000002,447,466,buy
5094,-15,0.027000000000000024,436,445,buy
5066,-14,0.030000000000000027,421,417,buy
5046,8,0.03300000000000003,407,397,sell
5054,-1,0.019000000000000017,415,405,buy
5052,2,0.025000000000000022,414,403,sell
5054,-9,0.019000000000000017,416,405,buy
5042,24,0.03400000000000003,407,393,sell
5067,-69,0.014000000000000012,431,418,buy
4993,5,0.039000000000000035,362,344,sell
4999,-18,0.026000000000000023,367,350,buy
4977,11,0.041000000000000036,349,328,sell
4992,13,0.02400000000000002,360,343,sell
5011,26,0.018000000000000016,373,362,sell
5046,27,0.009000000000000008,399,397,sell
5081,-41,0.003000000000000007,426,432,buy
5035,-2,0.020000000000000018,385,386,buy
5031,-16,0.02100000000000002,383,382,buy
5009,21,0.027000000000000024,367,360,sell
5034,26,0.013000000000000012,388,385,sell
5061,27,0.005000000000000007,414,412,sell
